Country,ISO2,Regime_B2C,opt_in_or_out_B2C,Regime_B2B,opt_in_or_out_B2B,DNC_Registry_Name,DNC_Registry_URL,DNC_API_or_Bulk(Y/N/Unknown),DNC_Check_Required_for_ER(Y/N/Depends),Quiet_Hours(allowed_window_local),AIDisclosure_Required(Y/N/Depends),Recording_Basis(consent/legitimate_interest/contract),Existing_Relationship_Exemption(plain_text),Known_Exceptions(notes),CallerID/Prefix_Rules,Recent_Changes(2024+),Last_Verified,Primary_Sources,Notes_for_Product,Source_Language,Source_Last_Updated,Confidence
Jamaica,JM,Consumer laws apply,opt-out (Do Not Call under FTC),No specific B2B telemarketing regulation found,Jamaica Do Not Call Register,https://www.jftc.gov.jm,Unknown,Yes,Not specified,Depends,consent,ER exemption unclear,None,None,None,2025-08-18,"Jamaica FTC",DNCL exists but weak,EN,2024-01-15,Medium
Trinidad and Tobago,TT,Consumer protection law applies,opt-in,B2B not regulated,No specific B2B telemarketing regulation found,None,None,Unknown,Depends,Not specified,Not specified,consent,None,None,None,None,2025-08-18,"TATT https://tatt.org.tt",No DNCL – apply opt-in conservatively,EN,2023-11-01,Low
Barbados,BB,Consumer protection law applies,opt-in,B2B not regulated,No specific B2B telemarketing regulation found,None,None,Unknown,Depends,Not specified,Not specified,consent,None,None,None,None,2025-08-18,"FTC Barbados",No DNCL – apply opt-in conservatively,EN,2023-10-01,Low
Bahamas,BH,Consumer protection law applies,opt-in,B2B not regulated,No specific B2B telemarketing regulation found,None,None,Unknown,Depends,Not specified,Not specified,consent,None,None,None,None,2025-08-18,"URCA Bahamas",No DNCL – apply opt-in conservatively,EN,2023-07-01,Low
Antigua and Barbuda,AG,Consumer law applies,opt-in,B2B not regulated,No specific B2B telemarketing regulation found,None,None,Unknown,Depends,Not specified,Not specified,consent,None,None,None,None,2025-08-18,"ECTEL (covers AG, DM, GD, KN, LC, VC)",Apply conservative opt-in,EN,2023-05-01,Low
Grenada,GD,Consumer law applies,opt-in,B2B not regulated,No specific B2B telemarketing regulation found,None,None,Unknown,Depends,Not specified,Not specified,consent,None,None,None,None,2025-08-18,"ECTEL",Apply conservative opt-in,EN,2023-05-01,Low
St. Lucia,LC,Consumer law applies,opt-in,B2B not regulated,No specific B2B telemarketing regulation found,None,None,Unknown,Depends,Not specified,Not specified,consent,None,None,None,None,2025-08-18,"ECTEL",Apply conservative opt-in,EN,2023-05-01,Low
St. Kitts and Nevis,KN,Consumer law applies,opt-in,B2B not regulated,No specific B2B telemarketing regulation found,None,None,Unknown,Depends,Not specified,Not specified,consent,None,None,None,None,2025-08-18,"ECTEL",Apply conservative opt-in,EN,2023-05-01,Low
St. Vincent and Grenadines,VC,Consumer law applies,opt-in,B2B not regulated,No specific B2B telemarketing regulation found,None,None,Unknown,Depends,Not specified,Not specified,consent,None,None,None,None,2025-08-18,"ECTEL",Apply conservative opt-in,EN,2023-05-01,Low
Dominica,DM,Consumer law applies,opt-in,B2B not regulated,No specific B2B telemarketing regulation found,None,None,Unknown,Depends,Not specified,Not specified,consent,None,None,None,None,2025-08-18,"ECTEL",Apply conservative opt-in,EN,2023-05-01,Low

